experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8116,10,10,20,0,Result.Victory,1,1,clean,23418.0,337.6,3,7,10,0,7,20,20,0,0,0,0,0,99475.0,0.5146,154900.0,374750.0,20,20,1.0195,4.8,,51973.0,1849,7428,8339,23418.0,,,,,,3,39,10,40,645,221,198,670,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8117,10,10,20,0,Result.Victory,1,0,C_breakthrough,44542.0,452.2,6,4,0,10,14,19,20,0,1,1,0,0,89150.0,0.4612,207400.0,320875.0,20,19,1.0225,4.8,,63054.0,1856,7370,8327,44542.0,,,,,,8,46,17,38,550,225,206,1440,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8118,10,10,20,0,Result.Victory,1,1,clean,20474.0,337.2,10,0,10,0,0,20,20,0,0,0,0,0,119375.0,0.6176,193050.0,401275.0,20,20,1.0816,4.8,,55838.0,1862,7384,8296,20474.0,,,,,,3,60,30,40,566,231,193,976,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8119,10,10,20,0,Result.Victory,1,0,C_breakthrough,39435.0,450.1,9,1,0,10,11,19,20,0,1,1,0,0,110825.0,0.5733,199850.0,456375.0,20,19,1.0778,4.6,,58493.0,1856,7386,8642,39435.0,,,,,,9,53,25,38,547,192,178,1258,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8120,10,10,20,0,Result.Victory,1,1,clean,15645.0,278.6,7,3,10,0,3,20,20,0,0,0,0,0,91600.0,0.4739,160100.0,285225.0,20,20,0.9681,4.8,,52486.0,1862,7388,8287,15645.0,,,,,,1,47,17,40,687,193,181,666,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8121,10,10,20,0,Result.Victory,1,1,clean,21373.0,320.7,7,3,10,0,3,20,20,0,0,0,0,0,107575.0,0.5565,195650.0,379825.0,20,20,1.0851,4.6,,58523.0,1844,7407,8345,21373.0,,,,,,1,49,19,40,707,187,176,1123,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8122,10,10,20,0,Result.Victory,1,1,clean,16962.0,286.8,7,3,10,0,3,20,20,0,0,0,0,0,91875.0,0.4753,168425.0,306450.0,20,20,1.0075,4.7,,56732.0,1850,7386,8304,16962.0,,,,,,2,49,20,40,618,236,211,917,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8123,10,10,20,0,Result.Defeat,0,0,C_breakthrough,29219.0,363.8,3,7,0,10,17,17,17,2,0,1,0,0,92700.0,0.4796,173950.0,406675.0,20,17,1.1256,4.7,,56487.0,1847,7421,8306,29219.0,,,,,,7,46,19,34,679,212,196,1457,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8124,10,10,20,0,Result.Victory,1,0,C_breakthrough,40651.0,446.9,6,4,0,10,14,19,18,0,1,1,0,0,100800.0,0.5215,243600.0,383125.0,20,18,1.0238,4.9,,59358.0,1859,7372,8261,40651.0,,,,,,12,42,15,36,514,190,178,360,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8125,10,10,20,0,Result.Victory,1,1,clean,20852.0,327.0,7,3,10,0,3,20,20,0,0,0,0,0,117925.0,0.6101,176675.0,419175.0,20,20,0.9667,4.9,,52498.0,1839,7526,8445,20852.0,,,,,,2,50,20,40,530,228,191,1111,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8126,10,10,20,0,Result.Victory,1,1,clean,23007.0,343.8,7,3,10,0,3,20,20,0,0,0,0,0,104700.0,0.5416,194025.0,421425.0,20,20,1.1715,4.8,,58186.0,1856,7405,8291,23007.0,,,,,,6,46,16,40,648,254,209,1283,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8127,10,10,20,0,Result.Victory,1,1,clean,14312.0,273.8,6,4,9,1,5,20,20,0,0,0,0,0,74375.0,0.3848,152650.0,252550.0,20,20,0.9438,4.4,,47801.0,1846,7626,8546,14312.0,,,,,,0,48,18,40,600,207,201,779,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8128,10,10,20,0,Result.Victory,1,1,clean,18129.0,306.5,9,1,10,0,1,20,20,0,0,0,0,0,93650.0,0.4845,189950.0,304525.0,20,20,0.9733,4.6,,49089.0,1851,7427,8347,18129.0,,,,,,4,44,14,40,592,237,211,685,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8129,10,10,20,0,Result.Victory,1,1,clean,15485.0,283.0,8,2,10,0,2,20,20,0,0,0,0,0,88900.0,0.4599,155000.0,265075.0,20,20,0.968,4.5,,51158.0,1863,7381,8282,15485.0,,,,,,1,53,23,40,705,225,203,728,0,0
PHASE1_FRESH_CAND,S2,S2,B3_ADAPTIVE,8130,10,10,20,0,Result.Victory,1,1,clean,19963.0,329.0,5,5,10,0,5,20,20,0,0,0,0,0,92975.0,0.481,158775.0,344775.0,20,20,1.0273,4.7,,53798.0,1844,7554,8440,19963.0,,,,,,1,61,31,40,1172,350,298,1163,0,0
