scenario_id,seed,white_usv,white_uav,black_usv,black_uav,policy_mode,engine_result,clean_result,black_breakthrough_count,enemy_usv_kills,enemy_uav_losses,friendly_usv_losses,friendly_uav_losses,enemy_usv_kill_ratio,friendly_usv_survival_ratio,exchange_ratio,first_detection_time,first_lock_time,first_kill_time,max_known_tracks,max_threat_clusters,reacquire_attempts,reacquire_success,global_reacquire_entries,global_reacquire_success,coverage_quality_avg,coverage_collapse_events,low_confidence_commitments,sensor_assisted_locks,standoff_engagements,commander_triggers,commander_calls,commander_changes,commander_no_change,commander_source,api_failures,parse_failures,policy_failures,avg_llm_latency,sim_time,wall_time,notes
A,301,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,3.0,0.0,1.00,0.40,2.67,1553.0,7393.0,8744.0,15,1.0,52.0,52.0,0.0,0.0,N/A,1.0,0.0,84.0,N/A,22,21.0,19.0,2.0,deepseek,0.0,0.0,1.0,2.1,14219.0,143.5,
A,302,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1547.0,7398.0,8304.0,15,1.0,114.0,114.0,2.0,2.0,N/A,1.0,0.0,55.0,N/A,21,20.0,19.0,1.0,deepseek,0.0,0.0,1.0,2.0,13218.0,133.4,
A,303,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1555.0,7378.0,8326.0,15,1.0,70.0,70.0,0.0,0.0,N/A,1.0,0.0,47.0,N/A,15,15.0,12.0,3.0,deepseek,0.0,0.0,1.0,2.2,9452.0,95.6,
A,304,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1550.0,7388.0,8289.0,15,1.0,66.0,66.0,0.0,0.0,N/A,1.0,0.0,53.0,N/A,16,15.0,14.0,1.0,deepseek,0.0,0.0,0.0,2.1,10350.0,104.6,
A,305,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,4.0,0.0,1.00,0.20,2.00,1564.0,7407.0,8771.0,15,1.0,48.0,48.0,0.0,0.0,N/A,1.0,0.0,34.0,N/A,16,16.0,15.0,1.0,deepseek,0.0,0.0,0.0,2.2,10901.0,110.1,
A,306,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,4.0,0.0,1.00,0.20,2.00,1556.0,7391.0,8731.0,15,1.0,15.0,15.0,0.0,0.0,N/A,1.0,0.0,39.0,N/A,18,18.0,16.0,2.0,deepseek,0.0,0.0,5.0,2.4,11836.0,119.5,
A,307,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1566.0,7411.0,8326.0,15,1.0,55.0,55.0,0.0,0.0,N/A,1.0,0.0,42.0,N/A,15,15.0,14.0,1.0,deepseek,0.0,0.0,1.0,2.2,9653.0,97.6,
A,308,5,5,8,7,deepseek,Result.Victory,quirk_victory,1.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1552.0,7382.0,8292.0,15,1.0,64.0,63.0,3.0,2.0,N/A,1.0,0.0,32.0,N/A,23,22.0,21.0,1.0,deepseek,0.0,0.0,2.0,2.1,23017.0,233.2,
A,309,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,2.0,0.0,1.00,0.60,4.00,1551.0,7432.0,8337.0,15,1.0,48.0,48.0,0.0,0.0,N/A,1.0,0.0,59.0,N/A,17,17.0,16.0,1.0,deepseek,0.0,0.0,0.0,2.2,10759.0,108.7,
A,310,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1549.0,7400.0,8317.0,15,1.0,26.0,26.0,0.0,0.0,N/A,1.0,0.0,45.0,N/A,15,14.0,14.0,0.0,deepseek,0.0,0.0,0.0,2.1,10261.0,103.7,
A,311,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1567.0,7397.0,8318.0,15,1.0,18.0,18.0,0.0,0.0,N/A,1.0,0.0,51.0,N/A,15,15.0,14.0,1.0,deepseek,0.0,0.0,3.0,2.1,10155.0,103.2,
A,312,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1566.0,7391.0,8702.0,15,1.0,23.0,23.0,0.0,0.0,N/A,1.0,0.0,69.0,N/A,19,19.0,16.0,3.0,deepseek,0.0,0.0,0.0,2.1,12606.0,127.3,
A,313,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1564.0,7388.0,8318.0,15,1.0,75.0,75.0,0.0,0.0,N/A,1.0,0.0,56.0,N/A,16,16.0,15.0,1.0,deepseek,0.0,0.0,0.0,2.1,10067.0,101.7,
A,314,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1549.0,7403.0,8349.0,15,1.0,21.0,21.0,0.0,0.0,N/A,1.0,0.0,43.0,N/A,14,14.0,12.0,2.0,deepseek,0.0,0.0,1.0,2.3,9674.0,98.3,
A,315,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1558.0,7389.0,8300.0,15,1.0,101.0,101.0,0.0,0.0,N/A,1.0,0.0,53.0,N/A,15,15.0,13.0,2.0,deepseek,0.0,0.0,0.0,2.1,10618.0,107.2,
A,316,5,5,8,7,deepseek,Result.Victory,quirk_victory,1.0,8.0,N/A,1.0,0.0,1.00,0.80,8.00,1551.0,7431.0,8329.0,15,1.0,93.0,92.0,3.0,2.0,N/A,1.0,0.0,79.0,N/A,26,25.0,24.0,1.0,deepseek,0.0,0.0,4.0,2.1,22942.0,231.2,
A,317,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1563.0,7378.0,8331.0,15,1.0,19.0,19.0,0.0,0.0,N/A,1.0,0.0,40.0,N/A,14,13.0,12.0,1.0,deepseek,0.0,0.0,2.0,2.2,9346.0,95.1,
A,318,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,3.0,0.0,1.00,0.40,2.67,1562.0,7399.0,8689.0,15,1.0,39.0,39.0,0.0,0.0,N/A,1.0,0.0,49.0,N/A,18,17.0,17.0,0.0,deepseek,0.0,0.0,5.0,2.2,11083.0,111.9,
A,319,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,0.0,0.0,1.00,1.00,N/A,1555.0,7414.0,8319.0,15,1.0,47.0,47.0,0.0,0.0,N/A,1.0,0.0,32.0,N/A,15,14.0,14.0,0.0,deepseek,0.0,0.0,0.0,2.1,9042.0,91.4,
A,320,5,5,8,7,deepseek,Result.Victory,clean_victory,0.0,8.0,N/A,2.0,0.0,1.00,0.60,4.00,1559.0,7377.0,8311.0,15,1.0,38.0,38.0,0.0,0.0,N/A,1.0,0.0,53.0,N/A,16,15.0,14.0,1.0,deepseek,0.0,0.0,1.0,2.3,9995.0,101.6,
