unit_type,samples,avg_explored_area_km2,avg_first_coverage_km2,avg_damage_hits,avg_kill_credit,survival_rate
USV,615,14421.1,426.3,4.6,2.29,0.558
UAV,615,31411.3,9573.3,0.0,0.0,0.909
