composition,white_usv,white_uav,black_usv,black_uav,frontage,seed,engine_result,clean_result,enemy_usv_kills,friendly_usv_losses,friendly_uav_losses,black_breakthrough,first_detection_time,first_lock_time,first_kill_time,reacquire_attempts,reacquire_success,global_reacquire_entries,global_reacquire_success,coverage_collapse_events,active_clusters_max,sensor_assisted_locks,low_conf_commitments,commander_source,commander_calls,commander_changes,commander_policy_failures,commander_api_failures,LLM_avg_latency,sim_time,wall_clock_time,notes
F8,11,9,11,9,fixed_frontage,202,Result.Victory,clean_victory,11.0,2.0,0.0,0.0,1555.0,7377.0,8282.0,24.0,24.0,0.0,0.0,1.0,1.0,50.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,11111.0,573.3,
F8,11,9,11,9,fixed_frontage,203,Result.Victory,clean_victory,11.0,2.0,0.0,0.0,1573.0,7373.0,8293.0,31.0,31.0,8.0,8.0,1.0,1.0,41.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,18416.0,394.7,
F9,12,4,12,4,fixed_frontage,201,Result.Victory,clean_victory,12.0,3.0,0.0,0.0,1888.0,7365.0,8290.0,121.0,121.0,0.0,0.0,1.0,1.0,54.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10908.0,233.3,
F9,12,4,12,4,fixed_frontage,202,Result.Victory,clean_victory,12.0,3.0,0.0,0.0,1873.0,7367.0,8292.0,55.0,55.0,0.0,0.0,1.0,1.0,50.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9909.0,421.0,
F9,12,4,12,4,fixed_frontage,203,Result.Victory,quirk_victory,12.0,3.0,4.0,1.0,1873.0,7361.0,8262.0,66.0,65.0,3.0,2.0,1.0,1.0,54.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26124.0,671.9,
F10,13,10,13,10,fixed_frontage,201,Result.Victory,clean_victory,13.0,1.0,0.0,0.0,1557.0,7370.0,8297.0,47.0,47.0,0.0,0.0,1.0,1.0,33.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10705.0,715.2,
F10,13,10,13,10,fixed_frontage,202,Result.Victory,clean_victory,13.0,4.0,0.0,0.0,1550.0,7381.0,8305.0,36.0,36.0,0.0,0.0,1.0,1.0,40.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9984.0,354.0,
F10,13,10,13,10,fixed_frontage,203,Result.Victory,clean_victory,13.0,3.0,0.0,0.0,1570.0,7386.0,8302.0,19.0,19.0,7.0,7.0,1.0,1.0,36.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,16750.0,446.0,
F11,14,6,14,6,fixed_frontage,201,Result.Victory,clean_victory,14.0,2.0,0.0,0.0,1566.0,7398.0,8281.0,77.0,77.0,0.0,0.0,1.0,1.0,32.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9731.0,292.7,
F11,14,6,14,6,fixed_frontage,202,Result.Victory,clean_victory,14.0,4.0,0.0,0.0,1565.0,7361.0,8276.0,31.0,31.0,0.0,0.0,1.0,1.0,40.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9624.0,288.6,
F11,14,6,14,6,fixed_frontage,203,Result.Victory,quirk_victory,14.0,5.0,6.0,1.0,1574.0,7396.0,8280.0,67.0,66.0,2.0,1.0,1.0,1.0,48.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26336.0,531.8,
F12,15,8,15,8,fixed_frontage,201,Result.Victory,clean_victory,15.0,6.0,0.0,0.0,1556.0,7398.0,8311.0,92.0,92.0,1.0,1.0,1.0,1.0,34.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,10854.0,219.0,
F12,15,8,15,8,fixed_frontage,202,Result.Victory,clean_victory,15.0,2.0,0.0,0.0,1573.0,7389.0,8297.0,30.0,30.0,0.0,0.0,1.0,1.0,31.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,9586.0,194.1,
F12,15,8,15,8,fixed_frontage,203,Result.Victory,quirk_victory,15.0,2.0,8.0,1.0,1559.0,7396.0,8267.0,152.0,151.0,6.0,5.0,1.0,1.0,68.0,0.0,default_intent,0.0,0.0,0.0,0.0,0.0,26299.0,529.9,
