policy_id,n,block,group,feature,availability,mean,std,median,p25,p75,n_used
B1_MULTI_AXIS,10,behavioral,temporal,first_contact_time,available,1856.8,8.6464,1860.5,1850.0,1862.0,10
B1_MULTI_AXIS,10,behavioral,temporal,first_engagement_time,available,7400.2,10.7126,7399.0,7395.0,7407.0,10
B1_MULTI_AXIS,10,behavioral,temporal,first_attack_time,available,8310.2,14.682,8310.0,8298.0,8320.0,10
B1_MULTI_AXIS,10,behavioral,temporal,resolution_time,available,29449.6,4777.169,27816.5,26585.0,28877.0,10
B1_MULTI_AXIS,10,behavioral,temporal,phase_switch_count,unavailable,,,,,,10
B1_MULTI_AXIS,10,response,failure,failure_reason,,,,,,,10
B1_MULTI_AXIS,10,response,outcomes,victory,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,response,outcomes,clean_win,available,0,0.0,0.0,0,0,10
B1_MULTI_AXIS,10,response,outcomes,breakthrough_count,available,0.9,0.3,1.0,1.0,1.0,10
B1_MULTI_AXIS,10,response,outcomes,white_friendly_losses,available,11.3,1.005,11.0,11.0,12.0,10
B1_MULTI_AXIS,10,response,outcomes,enemy_kills,available,15.1,2.119,14.0,14.0,18.0,10
B1_MULTI_AXIS,10,response,outcomes,explored_ratio,available,0.5167,0.0343,0.5087,0.4871,0.5387,10
B1_MULTI_AXIS,10,response,outcomes,white_reacquire_count,available,3.5,3.0083,2.0,1.0,5.0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,adaptive_replan_count,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,lane_shift_count,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,dispersion_event_count,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,detected_white_event_count,available,0,0.0,0.0,0,0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,replan_frequency_per_1000s,available,0.0,0.0,0.0,0.0,0.0,10
B2_COORDINATED_PRESSURE,10,behavioral,adaptation,contact_to_replan_latency,unavailable,,,,,,10
B2_COORDINATED_PRESSURE,10,behavioral,coordination,arrival_front_sync_std_s,proxy,1020.2,1302.083,469.95,148.1,827.0,10
B2_COORDINATED_PRESSURE,10,behavioral,coordination,arrival_front_mean_s,proxy,2440.39,631.9338,2154.65,2040.4,2328.1,10
B2_COORDINATED_PRESSURE,10,behavioral,coordination,approach_bearing_entropy,proxy,1.2297,0.1471,1.2146,1.113,1.3875,10
B2_COORDINATED_PRESSURE,10,behavioral,coordination,group_arrival_sync,proxy,1020.2,1302.083,469.95,148.1,827.0,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,approach_lane_entropy,proxy,1.2297,0.1471,1.2146,1.113,1.3875,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,mean_visible_group_count,proxy,3.97,0.4451,3.9,3.6,4.3,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,mean_group_spacing_km,proxy,91921.1,6607.0822,90063.5,87579.0,94045.0,10
B2_COORDINATED_PRESSURE,10,behavioral,spatial,peak_simultaneous_visible,proxy,18.5,1.6882,19.0,18.0,20.0,10
