opponent_profile,seed,white_version,result,clean_win,enemy_kills,friendly_usv_dead,breakthrough,resolution_time,screen_assignments,unique_screen_reconfigurations,track_maintenance_assignments,unsafe_close_entries,min_target_distance_during_pursuit
B0_RANDOM,2001,W6_OVERLAY,Result.Victory,0,10.0,5.0,1,22619.0,0,1,0,0,204758.1001546361
B3_ADAPTIVE,2001,W6_OVERLAY,Result.Defeat,0,9.0,5.0,0,25021.0,19,9,113,0,50817.95895333444
