scenario,stage,white_version,black_version,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,result,clean_win,enemy_combat_kills,friendly_usv_dead,breakthrough,explored_area_km2,resolution_time_s,engine_error,api_error,invalid_action,fair_play_violation,rerun_reason,wall_time_s,log_path,prediction_count,intercept_count,handoff_count,successful_handoff_count,handoff_evaluations,track_maintenance_assignments,screen_assignments,screen_evaluations,unique_screen_reconfigurations,unique_intercept_plan_changes,unique_high_risk_transitions,critical_risk_entries,breakthrough_risk_alerts,late_intercept_events,unsafe_close_entries,unsafe_close_duration_steps,reposition_outward_count,min_target_distance_during_pursuit,risk_evaluations,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,b3_calls
S1,Stage1,W5,B3_ADAPTIVE,4008,5,5,10,Result.Victory,1,10.0,1.0,0,98575.0,24356.0,0,0,0,0,,245.4,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4008_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,141,119,1412,1635
S1,Stage1,W5,B3_ADAPTIVE,4009,5,5,10,Result.Victory,1,10.0,1.0,0,55450.0,12988.0,0,0,0,0,,131.1,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4009_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,134,114,696,873
S1,Stage1,W5,B3_ADAPTIVE,4010,5,5,10,Result.Victory,0,10.0,1.0,1,84050.0,36370.0,0,0,0,0,,366.2,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4010_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,109,101,1316,2440
S1,Stage2,W6,B3_ADAPTIVE,4001,5,5,10,Result.Defeat,0,9.0,2.0,1,59475.0,25029.0,0,0,0,0,,252.2,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4001_W6.log,3168,3168,2,0,24,60,4,1248,13,2813,31,15,3018,236,0,0,0,34211.4765925332,6336,174,79,67,1461,1680
S1,Stage2,W6,B3_ADAPTIVE,4002,5,5,10,Result.Defeat,0,9.0,2.0,1,56675.0,25020.0,0,0,0,0,,252.2,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4002_W6.log,3141,3141,2,0,19,70,4,1245,7,2763,26,13,3238,36,0,0,0,50921.7034912221,6282,192,88,69,1478,1680
S1,Stage2,W6,B3_ADAPTIVE,4003,5,5,10,Result.Victory,1,10.0,1.0,0,62025.0,15048.0,0,0,0,0,,151.8,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4003_W6.log,3487,3487,5,0,21,142,0,748,1,2956,33,21,3682,0,0,0,0,37500.20370407778,6974,311,137,109,832,1011
S1,Stage2,W6,B3_ADAPTIVE,4004,5,5,10,Result.Victory,1,10.0,2.0,0,53200.0,18103.0,0,0,0,0,,182.5,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4004_W6.log,3313,3313,2,0,18,132,3,906,3,2802,31,18,3554,6,1,1,2,33600.3735356262,6626,283,139,110,1038,1216
S1,Stage2,W6,B3_ADAPTIVE,4005,5,5,10,Result.Defeat,0,9.0,5.0,0,52400.0,26039.0,0,0,0,0,,262.4,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4005_W6.log,3347,3347,1,0,24,179,3,1312,13,2849,25,17,3344,124,0,0,1,34684.5040977745,6694,271,132,110,1489,1748
S1,Stage2,W6,B3_ADAPTIVE,4006,5,5,10,Result.Victory,1,10.0,1.0,0,53075.0,12735.0,0,0,0,0,,128.5,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4006_W6.log,3122,3122,8,0,18,59,0,639,1,2654,28,16,3340,0,3,3,3,31587.608461458276,6244,177,75,63,641,855
S1,Stage2,W6,B3_ADAPTIVE,4007,5,5,10,Result.Defeat,0,9.0,5.0,0,62025.0,25174.0,0,0,0,0,,253.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4007_W6.log,3445,3392,2,0,16,96,0,1247,5,2948,32,12,3158,0,0,0,0,44031.74138175633,6890,337,149,123,1472,1690
S1,Stage2,W6,B3_ADAPTIVE,4008,5,5,10,Result.Defeat,0,9.0,5.0,1,58225.0,23263.0,0,0,0,0,,234.4,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4008_W6.log,2996,2996,4,0,22,54,32,1148,9,2581,32,17,2834,98,1,1,2,33721.060514167664,5992,168,83,65,430,1562
S1,Stage2,W6,B3_ADAPTIVE,4009,5,5,10,Result.Defeat,0,9.0,5.0,0,60025.0,25177.0,0,0,0,0,,253.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4009_W6.log,3116,3061,2,0,18,90,28,1252,11,2555,27,17,3054,102,0,0,1,34933.398016998064,6232,430,209,182,1459,1690
S1,Stage2,W6,B3_ADAPTIVE,4010,5,5,10,Result.Victory,1,10.0,2.0,0,62175.0,15634.0,0,0,0,0,,157.7,/root/autodl-tmp/hsystem/logs_coevo/S1_B3ADAPTIVE_s4010_W6.log,3420,3420,3,0,15,124,0,799,1,2899,33,17,3560,0,0,0,1,40515.34396370915,6840,265,136,103,872,1050
S2,Stage0,W5,B0_RANDOM,4001,10,10,20,Result.Victory,1,20.0,3.0,0,62925.0,11514.0,0,0,0,0,,146.0,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4001_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4002,10,10,20,Result.Victory,1,20.0,4.0,0,63825.0,11882.0,0,0,0,0,,150.9,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4002_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4003,10,10,20,Result.Victory,1,20.0,4.0,0,53200.0,10362.0,0,0,0,0,,137.6,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4003_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4004,10,10,20,Result.Victory,1,20.0,8.0,0,57900.0,14636.0,0,0,0,0,,167.2,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4004_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4005,10,10,20,Result.Victory,1,20.0,3.0,0,80650.0,16105.0,0,0,0,0,,178.0,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4005_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4006,10,10,20,Result.Victory,1,20.0,3.0,0,65675.0,12596.0,0,0,0,0,,151.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4006_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4007,10,10,20,Result.Victory,0,20.0,6.0,1,99850.0,26793.0,0,0,0,0,,272.2,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4007_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4008,10,10,20,Result.Victory,1,20.0,7.0,0,49800.0,13039.0,0,0,0,0,,157.7,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4008_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4009,10,10,20,Result.Victory,1,20.0,9.0,0,63375.0,17439.0,0,0,0,0,,180.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4009_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage0,W5,B0_RANDOM,4010,10,10,20,Result.Victory,1,20.0,3.0,0,49825.0,10670.0,0,0,0,0,,142.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B0RANDOM_s4010_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,Stage1,W5,B3_ADAPTIVE,4001,10,10,20,Result.Victory,1,20.0,5.0,0,74150.0,17148.0,0,0,0,0,,180.8,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4001_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,283,231,922,1169
S2,Stage1,W5,B3_ADAPTIVE,4002,10,10,20,Result.Victory,0,20.0,3.0,1,89800.0,38781.0,0,0,0,0,,391.2,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4002_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,190,174,1225,2607
S2,Stage1,W5,B3_ADAPTIVE,4003,10,10,20,Result.Victory,1,20.0,3.0,0,88350.0,17589.0,0,0,0,0,,187.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4003_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,227,189,800,1217
S2,Stage1,W5,B3_ADAPTIVE,4004,10,10,20,Result.Victory,0,20.0,5.0,1,92850.0,41303.0,0,0,0,0,,416.6,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4004_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,223,204,1310,2776
S2,Stage1,W5,B3_ADAPTIVE,4005,10,10,20,Result.Victory,1,20.0,5.0,0,95050.0,20346.0,0,0,0,0,,205.3,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4005_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,271,226,1056,1367
S2,Stage1,W5,B3_ADAPTIVE,4006,10,10,20,Result.Victory,1,20.0,2.0,0,80575.0,14842.0,0,0,0,0,,175.4,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4006_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,182,164,688,1010
S2,Stage1,W5,B3_ADAPTIVE,4007,10,10,20,Result.Victory,0,20.0,1.0,1,106250.0,34087.0,0,0,0,0,,343.8,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4007_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,191,173,1366,2291
S2,Stage1,W5,B3_ADAPTIVE,4008,10,10,20,Result.Victory,1,20.0,1.0,0,77375.0,14136.0,0,0,0,0,,172.6,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4008_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,237,207,696,961
S2,Stage1,W5,B3_ADAPTIVE,4009,10,10,20,Result.Defeat,0,19.0,6.0,1,93300.0,31179.0,0,0,0,0,,314.6,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4009_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,393,306,1435,2096
S2,Stage1,W5,B3_ADAPTIVE,4010,10,10,20,Result.Victory,1,20.0,1.0,0,66600.0,15279.0,0,0,0,0,,177.9,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4010_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,240,223,752,1038
S2,Stage2,W6,B3_ADAPTIVE,4001,10,10,20,Result.Defeat,0,18.0,10.0,0,82925.0,25205.0,0,0,0,0,,254.2,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4001_W6.log,4939,4939,10,0,55,84,16,692,7,4604,63,24,4514,32,0,0,1,34486.88933268183,9878,919,294,258,1366,1693
S2,Stage2,W6,B3_ADAPTIVE,4002,10,10,20,Result.Defeat,0,18.0,8.0,1,82375.0,31879.0,0,0,0,0,,321.5,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4002_W6.log,4688,4688,10,0,56,153,102,1037,17,4340,52,22,3916,210,0,0,0,43002.4222587622,9376,799,315,208,1307,2142
S2,Stage2,W6,B3_ADAPTIVE,4003,10,10,20,Result.Defeat,0,18.0,10.0,0,87725.0,26189.0,0,0,0,0,,265.9,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4003_W6.log,4833,4833,9,0,33,91,0,777,1,4458,71,33,4380,0,2,2,3,32542.7126905976,9666,497,150,135,619,1772
S2,Stage2,W6,B3_ADAPTIVE,4004,10,10,20,Result.Defeat,0,17.0,10.0,0,82150.0,26692.0,0,0,0,0,,271.0,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4004_W6.log,4660,4660,10,0,52,75,14,765,11,4365,56,25,4224,28,0,0,0,47901.41011189608,9320,776,253,221,1396,1805
S2,Stage2,W6,B3_ADAPTIVE,4005,10,10,20,Result.Defeat,0,19.0,10.0,0,84575.0,29507.0,0,0,0,0,,297.6,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4005_W6.log,4828,4828,11,0,47,59,7,962,11,4377,70,32,4530,88,0,0,0,34787.14230526586,9656,573,205,183,1261,1983
S2,Stage2,W6,B3_ADAPTIVE,4006,10,10,20,Result.Defeat,0,19.0,7.0,1,79700.0,25613.0,0,0,0,0,,258.3,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4006_W6.log,4853,4853,13,0,43,98,2,766,5,4490,69,31,4682,12,2,2,2,30221.036520927006,9706,628,205,181,1428,1721
S2,Stage2,W6,B3_ADAPTIVE,4007,10,10,20,Result.Defeat,0,19.0,10.0,0,71775.0,25026.0,0,0,0,0,,254.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4007_W6.log,4876,4876,17,0,47,68,0,712,1,4489,71,33,4542,0,1,1,1,33902.64555127836,9752,510,181,164,1290,1693
S2,Stage2,W6,B3_ADAPTIVE,4008,10,10,20,Result.Defeat,0,19.0,10.0,0,84775.0,25199.0,0,0,0,0,,254.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4008_W6.log,5026,4983,9,0,30,132,0,713,3,4539,66,23,5152,0,0,0,1,45200.12141781126,10052,1030,317,286,1451,1693
S2,Stage2,W6,B3_ADAPTIVE,4009,10,10,20,Result.Defeat,0,18.0,10.0,0,80150.0,33322.0,0,0,0,0,,336.1,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4009_W6.log,4803,4803,11,0,46,59,0,1124,1,4378,68,30,4796,0,0,0,1,35273.39298503456,9606,521,183,173,1371,2240
S2,Stage2,W6,B3_ADAPTIVE,4010,10,10,20,Result.Defeat,0,18.0,10.0,0,78050.0,25202.0,0,0,0,0,,254.2,/root/autodl-tmp/hsystem/logs_coevo/S2_B3ADAPTIVE_s4010_W6.log,4736,4736,10,0,46,36,11,716,7,4398,67,26,4590,26,0,0,0,34608.405494134015,9472,509,202,182,1358,1693
S3,Stage0,W5,B0_RANDOM,4001,15,15,30,Result.Victory,1,30.0,9.0,0,76400.0,13267.0,0,0,0,0,,260.0,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4001_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4002,15,15,30,Result.Victory,1,30.0,5.0,0,55725.0,10977.0,0,0,0,0,,237.2,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4002_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4003,15,15,30,Result.Victory,1,30.0,5.0,0,53400.0,11411.0,0,0,0,0,,240.8,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4003_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4004,15,15,30,Result.Victory,1,30.0,3.0,0,59000.0,11515.0,0,0,0,0,,249.0,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4004_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4005,15,15,30,Result.Defeat,0,29.0,11.0,1,106150.0,23667.0,0,0,0,0,,340.2,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4005_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4006,15,15,30,Result.Victory,1,30.0,10.0,0,61700.0,12493.0,0,0,0,0,,256.0,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4006_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4007,15,15,30,Result.Victory,1,30.0,5.0,0,82800.0,14590.0,0,0,0,0,,274.9,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4007_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4008,15,15,30,Result.Victory,1,30.0,5.0,0,57025.0,11481.0,0,0,0,0,,255.8,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4008_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4009,15,15,30,Result.Victory,1,30.0,11.0,0,76375.0,17447.0,0,0,0,0,,302.8,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4009_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage0,W5,B0_RANDOM,4010,15,15,30,Result.Victory,1,30.0,8.0,0,63800.0,11634.0,0,0,0,0,,252.1,/root/autodl-tmp/hsystem/logs_coevo/S3_B0RANDOM_s4010_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,Stage1,W5,B3_ADAPTIVE,4001,15,15,30,Result.Victory,1,30.0,6.0,0,95925.0,27112.0,0,0,0,0,,378.7,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4001_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,261,184,1274,1878
S3,Stage1,W5,B3_ADAPTIVE,4002,15,15,30,Result.Victory,1,30.0,6.0,0,104275.0,19032.0,0,0,0,0,,326.8,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4002_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,217,176,928,1294
S3,Stage1,W5,B3_ADAPTIVE,4003,15,15,30,Result.Victory,0,30.0,7.0,1,111000.0,39649.0,0,0,0,0,,416.3,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4003_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,269,194,1284,2731
S3,Stage1,W5,B3_ADAPTIVE,4004,15,15,30,Result.Victory,1,30.0,8.0,0,81775.0,15541.0,0,0,0,0,,301.9,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4004_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,258,232,834,1080
S3,Stage1,W5,B3_ADAPTIVE,4005,15,15,30,Result.Victory,1,30.0,5.0,0,108350.0,19039.0,0,0,0,0,,342.1,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4005_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,320,271,1015,1294
S3,Stage1,W5,B3_ADAPTIVE,4006,15,15,30,Result.Defeat,0,29.0,10.0,1,103500.0,30188.0,0,0,0,0,,406.1,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4006_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,419,361,1469,2066
S3,Stage1,W5,B3_ADAPTIVE,4007,15,15,30,Result.Defeat,0,27.0,6.0,1,109450.0,24043.0,0,0,0,0,,391.6,/root/autodl-tmp/hsystem/logs_coevo/S3_B3ADAPTIVE_s4007_W5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,883,230,185,1304,1626
