candidate,reference,behavior_distance,response_distance,top_feature,top_effect_d,top_seed_consistency,multi_seed,verdict
AUTO1,B0,1.27,0.413,structure.early_late_concentration_delta,5.052,1.0,stable,EMPIRICALLY_DISTINCT
AUTO1,B1,1.479,1.257,structure.early_late_concentration_delta,6.099,1.0,stable,EMPIRICALLY_DISTINCT
AUTO1,B2,1.384,1.112,spatial.mean_group_spacing_km,4.221,1.0,stable,EMPIRICALLY_DISTINCT
AUTO1,B3,1.435,0.425,adaptation.dispersion_event_count,11.181,1.0,stable,EMPIRICALLY_DISTINCT
