experiment_id,scenario,scale,opponent_profile,seed,friendly_usv_initial,friendly_uav_initial,enemy_combat_usv_initial,enemy_uav_initial,result,victory,clean_win,failure_reason,sim_time,wall_time,friendly_usv_alive,friendly_usv_dead,friendly_uav_alive,friendly_uav_dead,friendly_total_dead,enemy_combat_killed_event,enemy_combat_killed_terminal,enemy_combat_alive_end,kill_accounting_mismatch,enemy_breakthrough_count,enemy_oob_count,timeout,explored_area_km2,explored_ratio,usv_explored_area_km2,uav_explored_area_km2,peak_simultaneous_threat_count,mean_simultaneous_threat_count,approach_lane_entropy,active_group_count_mean,active_group_count_peak,mean_group_spacing_km,time_to_first_detection,time_to_first_engagement,time_to_first_kill,time_to_resolve_all_combat_threats,peak_active_engagements,mean_active_engagements,peak_uncovered_hostile_tracks,mean_uncovered_hostile_tracks,time_with_zero_reliable_tracks,global_reacquire_count,locks_started,locks_broken,damage_hits,b3_replan_count,b3_lane_shift_count,b3_dispersion_event_count,b3_detected_white_event_count,http_or_trace_errors,agent_rc
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8116,10,10,20,0,Result.Victory,1,1,clean,44066.0,784.9,3,7,0,10,17,20,19,0,1,0,0,0,102200.0,0.5287,172325.0,428975.0,20,19,1.0923,4.8,,58525.0,1847,7383,8321,44066.0,,,,,,10,49,20,38,542,204,162,1429,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8117,10,10,20,0,Result.Victory,1,1,clean,26099.0,700.0,7,3,0,10,13,20,20,0,0,0,0,0,117225.0,0.6064,197275.0,502450.0,20,20,1.0798,4.9,,54366.0,1857,7397,8287,26099.0,,,,,,3,49,19,40,500,185,162,722,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8118,10,10,20,0,Result.Victory,1,0,C_breakthrough,33502.0,392.2,6,4,0,10,14,19,20,0,1,1,0,0,97675.0,0.5053,179750.0,380325.0,20,19,1.0067,4.7,,49812.0,1845,7400,8288,33502.0,,,,,,10,57,29,38,883,278,244,1317,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8119,10,10,20,0,Result.Victory,1,1,clean,25551.0,257.6,6,4,0,10,14,20,20,0,0,0,0,0,102400.0,0.5297,168725.0,405625.0,20,20,1.135,4.8,,59175.0,1866,7373,8280,25551.0,,,,,,7,43,14,40,565,213,183,1284,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8120,10,10,20,0,Result.Victory,1,1,clean,15704.0,178.6,7,3,10,0,3,20,19,0,1,0,0,0,71300.0,0.3689,163525.0,245375.0,20,20,1.005,4.6,,47967.0,1849,7445,8369,15704.0,,,,,,1,56,27,39,583,231,184,768,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8121,10,10,20,0,Result.Victory,1,1,clean,17644.0,181.9,4,6,10,0,6,20,20,0,0,0,0,0,80950.0,0.4188,154175.0,270900.0,20,20,0.9107,4.6,,51516.0,1864,7391,8306,17644.0,,,,,,1,35,5,40,466,173,164,693,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8122,10,10,20,0,Result.Victory,1,1,clean,20052.0,206.1,8,2,10,0,2,20,20,0,0,0,0,0,107525.0,0.5563,175500.0,373375.0,20,20,1.1498,4.9,,55849.0,1857,7390,8285,20052.0,,,,,,2,48,19,40,778,279,226,1075,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8123,10,10,20,0,Result.Victory,1,1,clean,16265.0,184.3,7,3,10,0,3,20,20,0,0,0,0,0,74525.0,0.3855,159850.0,266100.0,20,20,1.0074,4.8,,53832.0,1872,7389,8283,16265.0,,,,,,1,45,15,40,572,230,191,745,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8124,10,10,20,0,Result.Victory,1,1,clean,17168.0,189.1,7,3,10,0,3,20,19,0,1,0,0,0,81575.0,0.422,172250.0,245575.0,20,20,0.941,4.9,,47895.0,1861,7384,8283,17168.0,,,,,,1,46,17,39,713,285,234,921,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8125,10,10,20,0,Result.Victory,1,0,C_breakthrough,35379.0,356.9,5,5,0,10,15,19,20,0,1,1,0,0,102525.0,0.5304,164800.0,412350.0,20,19,1.2651,5.0,,57519.0,1855,7418,8331,35379.0,,,,,,8,45,19,38,776,311,267,1417,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8126,10,10,20,0,Result.Victory,1,1,clean,26375.0,279.8,2,8,0,10,18,20,20,0,0,0,0,0,90075.0,0.466,196250.0,317600.0,20,20,0.9065,4.7,,51592.0,1851,7448,8388,26375.0,,,,,,9,42,14,40,909,323,290,1422,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8127,10,10,20,0,Result.Victory,1,1,clean,17936.0,260.0,8,2,10,0,2,20,19,0,1,0,0,0,97725.0,0.5056,165500.0,286600.0,20,20,0.9716,4.8,,54946.0,1861,7389,8303,17936.0,,,,,,3,41,12,39,559,209,197,765,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8128,10,10,20,0,Result.Victory,1,0,C_breakthrough,26024.0,370.6,7,3,0,10,13,19,20,0,1,1,0,0,111900.0,0.5789,204050.0,411600.0,20,19,0.8959,4.5,,51371.0,1846,7398,8327,26024.0,,,,,,4,48,19,38,836,300,228,1294,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8129,10,10,20,0,Result.Victory,1,0,C_breakthrough,32923.0,393.8,7,3,0,10,13,18,17,0,1,2,0,0,91525.0,0.4735,204550.0,411450.0,20,17,1.0679,4.8,,56431.0,1864,7382,8308,32923.0,,,,,,10,42,15,34,763,262,212,1291,0,0
PHASE1_FRESH_W5,S2,S2,B3_ADAPTIVE,8130,10,10,20,0,Result.Defeat,0,0,C_breakthrough,34386.0,399.2,3,7,0,10,17,17,17,2,0,1,0,0,92025.0,0.4761,178000.0,374900.0,20,17,1.2426,4.6,,63242.0,1846,7466,8362,34386.0,,,,,,2,42,16,34,677,251,200,1444,0,0
