episode_id,seed,scenario,white_version,black_profile,outcome,clean_win,breakthrough,friendly_usv_loss,enemy_kills,resolution_time,explored_area_km2,first_detection,first_lock,first_kill,reacquire_attempts,reacquire_success,first_friendly_death_time,abnormal_error,trace_path
S2_B3_s6018,6018,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,18061.0,102550.0,1856.0,7450.0,8380.0,188,188,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6018.log
S2_B3_s6019,6019,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,7,20,20194.0,66450.0,1849.0,7392.0,8284.0,234,234,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6019.log
S2_B3_s6020,6020,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,18206.0,105325.0,1862.0,7394.0,8297.0,113,113,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6020.log
S2_B3_s6021,6021,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,16601.0,69525.0,1850.0,7411.0,8310.0,173,173,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6021.log
S2_B3_s6022,6022,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,37949.0,104000.0,1867.0,7443.0,8363.0,167,166,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6022.log
S2_B3_s6023,6023,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,23941.0,108750.0,1866.0,7372.0,8291.0,146,146,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6023.log
S2_B3_s6024,6024,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,15524.0,67275.0,1864.0,7390.0,8326.0,214,214,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6024.log
S2_B3_s6025,6025,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,17616.0,79350.0,1843.0,7387.0,8299.0,205,205,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6025.log
S2_B3_s6026,6026,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,15097.0,82825.0,1846.0,7424.0,8332.0,188,188,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6026.log
S2_B3_s6027,6027,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,21359.0,107050.0,1863.0,7444.0,8382.0,193,193,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6027.log
